Country Name, Country Population, Country Language, Country Capital City, Country Area in km²
Afghanistan, 41128771, Pashto and Dari, Kabul, 652230
Algeria, 46258856, Arabic, Algiers, 2381741
Bangladesh, 172317299, Bengali, Dhaka, 147570
Egypt, 109262178, Arabic, Cairo, 1002450
Indonesia, 273753191, Indonesian, Jakarta, 1904569
Iran, 87644252, Persian, Tehran, 1648195
Iraq, 45117223, Arabic, Baghdad, 438317
Malaysia, 33756008, Malay, Kuala Lumpur, 330803
Morocco, 37274321, Arabic, Rabat, 446550
Nigeria, 223804632, English, Abuja, 923768
Pakistan, 242923845, Urdu, Islamabad, 881912
Palestine, 5287462, Arabic, Ramallah, 6220
Saudi Arabia, 35939152, Arabic, Riyadh, 2149690
Senegal, 17854382, French, Dakar, 196722
Somalia, 17748832, Somali, Mogadishu, 637657
Sudan, 45802175, Arabic, Khartoum, 1886068
Syria, 22218421, Arabic, Damascus, 185180
Tunisia, 12694347, Arabic, Tunis, 163610
Turkey, 85816199, Turkish, Ankara, 769630
Uzbekistan, 35072325, Uzbek, Tashkent, 448978
Yemen, 33696614, Arabic, Sana'a, 527968
