Country Name,Popular Airlines
Afghanistan,Ariana Afghan Airlines-Kam Air-Safi Airways-East Horizon Airlines-KAM Air International
Algeria,Air Algérie-Tassili Airlines-Air Express Algeria-Star Aviation-Air Méditerranée
Bangladesh,Biman Bangladesh Airlines-US-Bangla Airlines-Regent Airways-Novoair-GMG Airlines
Egypt,EgyptAir-Air Cairo-Nile Air-FlyEgypt-Air Arabia Egypt
Indonesia,Garuda Indonesia-Lion Air-Batik Air-Citilink-Sriwijaya Air
Iran,Iran Air-Mahan Air-Aseman Airlines-Kish Air-Qeshm Airlines
Iraq,Iraqi Airways-FlyBaghdad-Zagrosjet-Air Baghdad-Al-Naser Airlines
Malaysia,Malaysia Airlines-AirAsia-Malindo Air-Firefly-Berjaya Air
Morocco,Royal Air Maroc-Air Arabia Maroc-RAM Express-Royal Air Maroc Express-Jetairfly
Nigeria,Arik Air-Air Peace-Dana Air-Med-View Airline-Azman Air
Pakistan,Pakistan International Airlines-Airblue-Serene Air-Shaheen Air-AirSial
Palestine,Palestinian Airlines-Arab Air Carriers-Air Arabia-Royal Jordanian-EgyptAir
Saudi Arabia,Saudia-Flynas-Flyadeal-SaudiGulf Airlines-Nesma Airlines
Senegal,Air Senegal-Transair Senegal-Senegal Airlines-Sahel Aviation Service-Air Teranga
Somalia,Jubba Airways-Daallo Airlines-Air Somalia-African Express Airways-Ocean Airlines
Sudan,Sudan Airways-Badr Airlines-Tarco Aviation-Sun Air-Marsland Aviation
Syria,Syrian Air-Cham Wings Airlines-FlyDamas-Kinda Airlines-Syrianair Express
Tunisia,Tunisair-Nouvelair-Tunisair Express-Syphax Airlines-Karthago Airlines
Turkey,Turkish Airlines-Pegasus Airlines-SunExpress-AnadoluJet-Onur Air
Uzbekistan,Uzbekistan Airways-Qanot Sharq-Humo Air-SilkAvia-Asaka Airlines
Yemen,Yemenia-Felix Airways-Queen Bilqis Airways-Socotra Airways-Golden Airlines
