Country,Hotels
Afghanistan,Serena Hotel Kabul-Intercontinental Kabul-Herat Hotel-Kabul Star Hotel-Khyber Hotel
Algeria,El Aurassi Hotel-Sofitel Algiers Hamma Garden-Hotel El-Djazair-Aurassi Resort-Hotel Samir
Bangladesh,Pan Pacific Sonargaon-Dhaka Regency Hotel-The Westin Dhaka-Amari Dhaka-Radisson Blu Dhaka
Egypt,Fairmont Nile City Hotel-Cairo Marriott Hotel-Mena House Hotel-Four Seasons Cairo-Kempinski Nile Hotel
Indonesia,The Ritz-Carlton Jakarta-Shangri-La Hotel Jakarta-Hotel Mulia Senayan-Bali Dynasty Resort-Mulia Resort Bali
Iran,Espinas Palace Hotel-Tehran Grand Hotel-Parsian Esteghlal Hotel-Ferdowsi International Grand Hotel-Parsian Azadi Hotel
Iraq,Rotana Hotel Erbil-Karbala Rayhaan by Rotana-Babylon Warwick Hotel Cristal Grand Ishtar Hotel-Erbil International Hotel
Malaysia,Shangri-La Kuala Lumpur-Mandarin Oriental Kuala Lumpur-The Datai Langkawi-The Ritz-Carlton Kuala Lumpur-Berjaya Times Square Hotel
Morocco,La Mamounia Marrakech-Royal Mansour Marrakech-Mazagan Beach & Golf Resort-Sofitel Casablanca Tour Blanche-Four Seasons Hotel Casablanca
Nigeria,Eko Hotels & Suites-Transcorp Hilton Abuja-Radisson Blu Anchorage Hotel-Lagos Oriental Hotel-Sheraton Lagos Hotel
Pakistan,Serena Hotel Islamabad-Pearl Continental Lahore-Marriott Hotel Karachi-Avari Towers Karachi-Movenpick Hotel Karachi
Palestine,Jacir Palace Hotel-Manger Square Hotel-Dar Sitti Aziza-Hijazi Hotel-Holy Family Hotel
Saudi Arabia,Hotel Fairmont Makkah-Raffles Makkah Palace-InterContinental Dar Al Tawhid-Madinah Oberoi Hotel-Hilton Suites Makkah
Senegal,Radisson Blu Hotel Dakar-King Fahd Palace-Terrou-Bi Hotel-Pullman Dakar Teranga-Hotel Lagon 2
Somalia,Jazeera Palace Hotel-SYL Hotel-Makkah Almukarram Hotel-Royal Palace Hotel-Hotel Ambassador
Sudan,Corinthia Hotel Khartoum-Sudanese Hotels Company Al Salam Rotana-Hilton Khartoum-Grand Holiday Villa Khartoum-Hotel Acropole Khartoum
Syria,Four Seasons Hotel Damascus-Sheraton Damascus-Cham Palace Hotel-Dama Rose Hotel-Ebla Cham Palace
Tunisia,La Badira Hotel-The Residence Tunis-Hotel Hasdrubal Thalassa & Spa-The Russelior Hotel & Spa-Movenpick Hotel Gammarth Tunis
Turkey,Çırağan Palace Kempinski Istanbul-Four Seasons Hotel Istanbul at Sultanahmet-Raffles Istanbul-The Marmara Taksim-Conrad Istanbul Bosphorus
Uzbekistan,Hotel Uzbekistan-Wyndham Tashkent-Lotte City Hotel Tashkent Palace-Ramada Tashkent International Hotel Tashkent
Yemen,Al Saeed Hotel-Taiz Movenpick Hotel-Hadhramout Hotel Al Mukalla-Al Hawta Palace Hotel-Basma Hotel
